question,answer
How many credits is Industrial Mathematics (2) worth?,Industrial Mathematics (2) is worth 3.0 credits.
When and where is Industrial Mathematics (2) held?,"Industrial Mathematics (2) is held at Months 6,7,8 in Mechanics (502)."
What type of course is Industrial Mathematics (2)?,Industrial Mathematics (2) is classified as a Theory course.
Are there any additional notes for Industrial Mathematics (2)?,Notes: Nan
What is the course code for Industrial Mathematics (2)?,The course code for Industrial Mathematics (2) is MECH2102.
Who is the instructor for Industrial Mathematics (2)?,The instructor of Industrial Mathematics (2) is Kim Jong-yeon.
How many credits is Industrial Mathematics (2) worth?,Industrial Mathematics (2) is worth 3.0 credits.
When and where is Industrial Mathematics (2) held?,"Industrial Mathematics (2) is held at Number 6, 7, 8. in Mechanics (601)."
What type of course is Industrial Mathematics (2)?,Industrial Mathematics (2) is classified as a Theory course.
Are there any additional notes for Industrial Mathematics (2)?,Notes: Nan
What is the course code for Mechanics Experiment (1)?,The course code for Mechanics Experiment (1) is MECH2104.
Who is the instructor for Mechanics Experiment (1)?,The instructor of Mechanics Experiment (1) is Immchaum.
How many credits is Mechanics Experiment (1) worth?,Mechanics Experiment (1) is worth 2.0 credits.
When and where is Mechanics Experiment (1) held?,"Mechanics Experiment (1) is held at Figure 6, 7, 8, 9. in Mechanics (502)."
What type of course is Mechanics Experiment (1)?,Mechanics Experiment (1) is classified as a Activation course.
Are there any additional notes for Mechanics Experiment (1)?,Notes: Nan
What is the course code for Mechanics Experiment (1)?,The course code for Mechanics Experiment (1) is MECH2104.
Who is the instructor for Mechanics Experiment (1)?,The instructor of Mechanics Experiment (1) is Kim Young-suk.
How many credits is Mechanics Experiment (1) worth?,Mechanics Experiment (1) is worth 2.0 credits.
When and where is Mechanics Experiment (1) held?,"Mechanics Experiment (1) is held at Figure 6, 7, 8, 9. in Mechanics (206)."
What type of course is Mechanics Experiment (1)?,Mechanics Experiment (1) is classified as a Activation course.
Are there any additional notes for Mechanics Experiment (1)?,Notes: Nan
What is the course code for Mechanics Experiment (1)?,The course code for Mechanics Experiment (1) is MECH2104.
Who is the instructor for Mechanics Experiment (1)?,The instructor of Mechanics Experiment (1) is Padre Hyun..
How many credits is Mechanics Experiment (1) worth?,Mechanics Experiment (1) is worth 2.0 credits.
When and where is Mechanics Experiment (1) held?,"Mechanics Experiment (1) is held at Figure 6, 7, 8, 9. in Felicine and joint laboratory habits (302)."
What type of course is Mechanics Experiment (1)?,Mechanics Experiment (1) is classified as a Activation course.
Are there any additional notes for Mechanics Experiment (1)?,Notes: Nan
What is the course code for Mechanics Experiment (1)?,The course code for Mechanics Experiment (1) is MECH2104.
Who is the instructor for Mechanics Experiment (1)?,The instructor of Mechanics Experiment (1) is Julian..
How many credits is Mechanics Experiment (1) worth?,Mechanics Experiment (1) is worth 2.0 credits.
When and where is Mechanics Experiment (1) held?,"Mechanics Experiment (1) is held at Figure 6, 7, 8, 9. in Felicine and joint laboratory habits (402)."
What type of course is Mechanics Experiment (1)?,Mechanics Experiment (1) is classified as a Activation course.
Are there any additional notes for Mechanics Experiment (1)?,Notes: Nan
What is the course code for Mechanics Experiment (1)?,The course code for Mechanics Experiment (1) is MECH2104.
Who is the instructor for Mechanics Experiment (1)?,The instructor of Mechanics Experiment (1) is Kim Ji-suk.
How many credits is Mechanics Experiment (1) worth?,Mechanics Experiment (1) is worth 2.0 credits.
When and where is Mechanics Experiment (1) held?,"Mechanics Experiment (1) is held at Figure 6, 7, 8, 9. in Mechanical (606)."
What type of course is Mechanics Experiment (1)?,Mechanics Experiment (1) is classified as a Activation course.
Are there any additional notes for Mechanics Experiment (1)?,Notes: Nan
What is the course code for Mechanics Experiment (1)?,The course code for Mechanics Experiment (1) is MECH2104.
Who is the instructor for Mechanics Experiment (1)?,The instructor of Mechanics Experiment (1) is Yu Bonjo.
How many credits is Mechanics Experiment (1) worth?,Mechanics Experiment (1) is worth 2.0 credits.
When and where is Mechanics Experiment (1) held?,"Mechanics Experiment (1) is held at Figure 6, 7, 8, 9. in Mechanical tube (512)."
What type of course is Mechanics Experiment (1)?,Mechanics Experiment (1) is classified as a Activation course.
Are there any additional notes for Mechanics Experiment (1)?,Notes: Nan
What is the course code for Machine Materials?,The course code for Machine Materials is MECH2105.
Who is the instructor for Machine Materials?,The instructor of Machine Materials is Ji-woo..
How many credits is Machine Materials worth?,Machine Materials is worth 3.0 credits.
When and where is Machine Materials held?,"Machine Materials is held at Woods 1, 2, 3. in Mechanics (601)."
What type of course is Machine Materials?,Machine Materials is classified as a Theory course.
Are there any additional notes for Machine Materials?,Notes: Nan
What is the course code for Machine Materials?,The course code for Machine Materials is MECH2105.
Who is the instructor for Machine Materials?,The instructor of Machine Materials is Ji-woo..
How many credits is Machine Materials worth?,Machine Materials is worth 3.0 credits.
When and where is Machine Materials held?,"Machine Materials is held at Thirst 6,7,8 in Mechanics (601)."
What type of course is Machine Materials?,Machine Materials is classified as a Theory course.
Are there any additional notes for Machine Materials?,Notes: Nan
What is the course code for Machine System (2)?,The course code for Machine System (2) is MECH2201.
Who is the instructor for Machine System (2)?,The instructor of Machine System (2) is The Mighty One.
How many credits is Machine System (2) worth?,Machine System (2) is worth 3.0 credits.
When and where is Machine System (2) held?,"Machine System (2) is held at throat 2, 3, 4. in Material tube and joint laboratory habits (301)."
What type of course is Machine System (2)?,Machine System (2) is classified as a Theory course.
Are there any additional notes for Machine System (2)?,Notes: Nan
What is the course code for Machine System (2)?,The course code for Machine System (2) is MECH2201.
Who is the instructor for Machine System (2)?,The instructor of Machine System (2) is The Mighty One.
How many credits is Machine System (2) worth?,Machine System (2) is worth 3.0 credits.
When and where is Machine System (2) held?,"Machine System (2) is held at Thirst 6,7,8 in Material tube and joint laboratory habits (301)."
What type of course is Machine System (2)?,Machine System (2) is classified as a Theory course.
Are there any additional notes for Machine System (2)?,Notes: Nan
What is the course code for thermodynamics (2)?,The course code for thermodynamics (2) is MECH2202.
Who is the instructor for thermodynamics (2)?,The instructor of thermodynamics (2) is The Final Mint.
How many credits is thermodynamics (2) worth?,thermodynamics (2) is worth 3.0 credits.
When and where is thermodynamics (2) held?,"thermodynamics (2) is held at Month 1,3 in Mechanics (501)."
What type of course is thermodynamics (2)?,thermodynamics (2) is classified as a Theory course.
Are there any additional notes for thermodynamics (2)?,Notes: Nan
What is the course code for thermodynamics (2)?,The course code for thermodynamics (2) is MECH2202.
Who is the instructor for thermodynamics (2)?,The instructor of thermodynamics (2) is The Final Mint.
How many credits is thermodynamics (2) worth?,thermodynamics (2) is worth 3.0 credits.
When and where is thermodynamics (2) held?,"thermodynamics (2) is held at Tuesday 2, 3. in Mechanics (501)."
What type of course is thermodynamics (2)?,thermodynamics (2) is classified as a Theory course.
Are there any additional notes for thermodynamics (2)?,Notes: Nan
What is the course code for thermodynamics (2)?,The course code for thermodynamics (2) is MECH2202.
Who is the instructor for thermodynamics (2)?,The instructor of thermodynamics (2) is Seo-hyun.
How many credits is thermodynamics (2) worth?,thermodynamics (2) is worth 3.0 credits.
When and where is thermodynamics (2) held?,"thermodynamics (2) is held at Number 6, 7, 8. in Mechanics (510)."
What type of course is thermodynamics (2)?,thermodynamics (2) is classified as a Theory course.
Are there any additional notes for thermodynamics (2)?,Notes: Nan
What is the course code for Fluids (1)?,The course code for Fluids (1) is MECH2109.
Who is the instructor for Fluids (1)?,The instructor of Fluids (1) is Kim Jong-yeon.
How many credits is Fluids (1) worth?,Fluids (1) is worth 3.0 credits.
When and where is Fluids (1) held?,"Fluids (1) is held at Months 6,7,8 in Mechanics (601)."
What type of course is Fluids (1)?,Fluids (1) is classified as a Theory course.
Are there any additional notes for Fluids (1)?,Notes: Nan
What is the course code for Fluids (1)?,The course code for Fluids (1) is MECH2109.
Who is the instructor for Fluids (1)?,The instructor of Fluids (1) is Dummy.
How many credits is Fluids (1) worth?,Fluids (1) is worth 3.0 credits.
When and where is Fluids (1) held?,"Fluids (1) is held at Month 1,3 in Mechanics (601)."
What type of course is Fluids (1)?,Fluids (1) is classified as a Theory course.
Are there any additional notes for Fluids (1)?,Notes: Nan
What is the course code for Fluids (1)?,The course code for Fluids (1) is MECH2109.
Who is the instructor for Fluids (1)?,The instructor of Fluids (1) is Dummy.
How many credits is Fluids (1) worth?,Fluids (1) is worth 3.0 credits.
When and where is Fluids (1) held?,"Fluids (1) is held at Tuesday 2, 3. in Mechanics (601)."
What type of course is Fluids (1)?,Fluids (1) is classified as a Theory course.
Are there any additional notes for Fluids (1)?,Notes: Nan
What is the course code for Lead Design 2?,The course code for Lead Design 2 is GUID200002.
Who is the instructor for Lead Design 2?,The instructor of Lead Design 2 is Kim Jong-yeon.
How many credits is Lead Design 2 worth?,Lead Design 2 is worth 1.0 credits.
When and where is Lead Design 2 held?,Lead Design 2 is held at MONTH 5 in Mechanics (502).
What type of course is Lead Design 2?,Lead Design 2 is classified as a Theory course.
Are there any additional notes for Lead Design 2?,Notes: Nan
What is the course code for Lead Design 2?,The course code for Lead Design 2 is GUID200002.
Who is the instructor for Lead Design 2?,The instructor of Lead Design 2 is Kim Jong-yeon.
How many credits is Lead Design 2 worth?,Lead Design 2 is worth 1.0 credits.
When and where is Lead Design 2 held?,Lead Design 2 is held at Tub 5 in Mechanics (502).
What type of course is Lead Design 2?,Lead Design 2 is classified as a Theory course.
Are there any additional notes for Lead Design 2?,Notes: Nan
What is the course code for Freeington Line?,The course code for Freeington Line is MECH2111.
Who is the instructor for Freeington Line?,The instructor of Freeington Line is Dummy.
How many credits is Freeington Line worth?,Freeington Line is worth 3.0 credits.
When and where is Freeington Line held?,Freeington Line is held at Nan in Nan.
What type of course is Freeington Line?,Freeington Line is classified as a Activation course.
Are there any additional notes for Freeington Line?,Notes: Only the union process of the deacons can be done.
What is the course code for Mechanisms?,The course code for Mechanisms is MECH3101.
Who is the instructor for Mechanisms?,The instructor of Mechanisms is Lee Hul-chul.
How many credits is Mechanisms worth?,Mechanisms is worth 3.0 credits.
When and where is Mechanisms held?,"Mechanisms is held at Months 6,7,8 in Mechanical tube (512)."
What type of course is Mechanisms?,Mechanisms is classified as a Theory course.
Are there any additional notes for Mechanisms?,Notes: Nan
What is the course code for Mechanisms?,The course code for Mechanisms is MECH3101.
Who is the instructor for Mechanisms?,The instructor of Mechanisms is Lee Hul-chul.
How many credits is Mechanisms worth?,Mechanisms is worth 3.0 credits.
When and where is Mechanisms held?,"Mechanisms is held at Number 6, 7, 8. in Mechanical tube (512)."
What type of course is Mechanisms?,Mechanisms is classified as a Theory course.
Are there any additional notes for Mechanisms?,Notes: Nan
What is the course code for Mechanisms?,The course code for Mechanisms is MECH3101.
Who is the instructor for Mechanisms?,The instructor of Mechanisms is DIGNOMY.
How many credits is Mechanisms worth?,Mechanisms is worth 3.0 credits.
When and where is Mechanisms held?,"Mechanisms is held at Tuesday 2, 3. in Mechanical (607)."
What type of course is Mechanisms?,Mechanisms is classified as a Theory course.
Are there any additional notes for Mechanisms?,Notes: Nan
What is the course code for Mechanisms?,The course code for Mechanisms is MECH3101.
Who is the instructor for Mechanisms?,The instructor of Mechanisms is DIGNOMY.
How many credits is Mechanisms worth?,Mechanisms is worth 3.0 credits.
When and where is Mechanisms held?,"Mechanisms is held at Woods 1, 2, 3. in Mechanical (607)."
What type of course is Mechanisms?,Mechanisms is classified as a Theory course.
Are there any additional notes for Mechanisms?,Notes: Nan
What is the course code for Design of Mechanical Elements (2)?,The course code for Design of Mechanical Elements (2) is MECH3202.
Who is the instructor for Design of Mechanical Elements (2)?,The instructor of Design of Mechanical Elements (2) is South-Yun-Yun..
How many credits is Design of Mechanical Elements (2) worth?,Design of Mechanical Elements (2) is worth 3.0 credits.
When and where is Design of Mechanical Elements (2) held?,"Design of Mechanical Elements (2) is held at Tuesday 6,7,8 in Mechanical tube (513)."
What type of course is Design of Mechanical Elements (2)?,Design of Mechanical Elements (2) is classified as a Theory course.
Are there any additional notes for Design of Mechanical Elements (2)?,Notes: Nan
What is the course code for Design of Mechanical Elements (2)?,The course code for Design of Mechanical Elements (2) is MECH3202.
Who is the instructor for Design of Mechanical Elements (2)?,The instructor of Design of Mechanical Elements (2) is South-Yun-Yun..
How many credits is Design of Mechanical Elements (2) worth?,Design of Mechanical Elements (2) is worth 3.0 credits.
When and where is Design of Mechanical Elements (2) held?,"Design of Mechanical Elements (2) is held at Number 6, 7, 8. in Mechanical tube (513)."
What type of course is Design of Mechanical Elements (2)?,Design of Mechanical Elements (2) is classified as a Theory course.
Are there any additional notes for Design of Mechanical Elements (2)?,Notes: Nan
What is the course code for Design of Mechanical Elements (2)?,The course code for Design of Mechanical Elements (2) is MECH3202.
Who is the instructor for Design of Mechanical Elements (2)?,The instructor of Design of Mechanical Elements (2) is South-Yun-Yun..
How many credits is Design of Mechanical Elements (2) worth?,Design of Mechanical Elements (2) is worth 3.0 credits.
When and where is Design of Mechanical Elements (2) held?,"Design of Mechanical Elements (2) is held at Thirst 6,7,8 in Mechanical tube (513)."
What type of course is Design of Mechanical Elements (2)?,Design of Mechanical Elements (2) is classified as a Theory course.
Are there any additional notes for Design of Mechanical Elements (2)?,Notes: Nan
What is the course code for The entrepreneurship and the Startup?,The course code for The entrepreneurship and the Startup is STAR3001.
Who is the instructor for The entrepreneurship and the Startup?,"The instructor of The entrepreneurship and the Startup is Oh, my God.."
How many credits is The entrepreneurship and the Startup worth?,The entrepreneurship and the Startup is worth 1.0 credits.
When and where is The entrepreneurship and the Startup held?,The entrepreneurship and the Startup is held at Number 5 in Mechanics (601).
What type of course is The entrepreneurship and the Startup?,The entrepreneurship and the Startup is classified as a Theory course.
Are there any additional notes for The entrepreneurship and the Startup?,Notes: Nan
What is the course code for Nano fair theory?,The course code for Nano fair theory is MECH3204.
Who is the instructor for Nano fair theory?,The instructor of Nano fair theory is DIGNOMY.
How many credits is Nano fair theory worth?,Nano fair theory is worth 3.0 credits.
When and where is Nano fair theory held?,"Nano fair theory is held at Months 6,7,8 in Mechanical (607)."
What type of course is Nano fair theory?,Nano fair theory is classified as a Theory course.
Are there any additional notes for Nano fair theory?,Notes: Nan
What is the course code for Cryonic and Air Harmony?,The course code for Cryonic and Air Harmony is MECH3206.
Who is the instructor for Cryonic and Air Harmony?,The instructor of Cryonic and Air Harmony is The Final Mint.
How many credits is Cryonic and Air Harmony worth?,Cryonic and Air Harmony is worth 3.0 credits.
When and where is Cryonic and Air Harmony held?,"Cryonic and Air Harmony is held at Months 6,7,8 in Mechanics (510)."
What type of course is Cryonic and Air Harmony?,Cryonic and Air Harmony is classified as a Theory course.
Are there any additional notes for Cryonic and Air Harmony?,Notes: Nan
What is the course code for Modeling & Simulation?,The course code for Modeling & Simulation is MECH3207.
Who is the instructor for Modeling & Simulation?,The instructor of Modeling & Simulation is Julian..
How many credits is Modeling & Simulation worth?,Modeling & Simulation is worth 3.0 credits.
When and where is Modeling & Simulation held?,"Modeling & Simulation is held at Months 6,7,8 in Felicine and joint laboratory habits (302)."
What type of course is Modeling & Simulation?,Modeling & Simulation is classified as a Theory course.
Are there any additional notes for Modeling & Simulation?,Notes: Nan
What is the course code for Modeling & Simulation?,The course code for Modeling & Simulation is MECH3207.
