Course Name,Description
시스템프로그래밍 (System Programming),"유닉스 운영체제의 구성을 이해함으로써 유닉스상에서의 시스템 프로그램 종류, 시스템 프로그래밍과 시스템 호출의 개념을 정립하고 커널과의 인터페이스를 위해 제공되는 다양한 시스템 호출의 기본 문법과 예제를 통해 파일 시스템 관리, 프로세스 관리, 주변장치 관리와 통신을 위한 시스템 프로그래밍 기술을 배운다. 설계 및 응용력 배양을 위해 다양한 시스템 프로그램 예제를 실습하고 설계 프로젝트를 수행한다."
알고리즘 (Algorithms),"프로그램 구성의 기본단위인 알고리즘을 이해시키고 알고리즘의 분석 및 설계방법을 학습하는 과목으로써 알고리즘의 정의와 Undecidability, 시간 및 공간복잡도, 알고리즘의 분석법, Greedy 알고리즘, 분할 해결법, 동적 프로그래밍, 탐색 알고리즘, 병렬 알고리즘, NP-problems와 근사알고리즘 등에 관해 학습하고 실제 프로그램을 작성하여 응용력을 향상시킨다."
공업수학 (Engineering Mathematics),"컴퓨터공학 전공을 이해하기 위한 선형대수학, 복소수, 변환 등의 수학 내용을 학습하여 공학적 문제를 풀 수 있는 기초적인 능력을 기른다. MATLAB 프로그램을 이용한 수학 문제 풀이 방법을 동시에 학습한다."
네트워크 및 데이터통신 (Network and Data Communication),"직접전송경로 방법에 의한 두 장비 사이의 데이터를 전달하는데 사용되는 기술을 학습한다. 주된 내용은 데이터통신의 일반적인 이해를 목적으로 표준화, 전송매체의 특성과 선정, 데이터전송기법, 전기적 인터페이스, 데이터링크 프로토콜, 다중화기법, 공중데이타망의 접속, 터미널통신망 등의 기술을 습득한다."
데이터베이스 (Databases),데이터베이스의 기본 개념에서부터 E/R모델과 객체지향데이터 모델 등을 포함하는 데이터베이스 설계를 학습한다.
마이크로프로세서 (Microprocessor),"CPU, RAM, ROM 및 주변장치와의 인터페이스 등 각종 소자에 대한 기본 개념을 배우고 마이크로컴퓨터의 구성과 이를 운영할 수 있는 소프트웨어 기초 지식을 배운다. 또한 다양한 분야의 응용기술을 실험해봄으로써 마이크로 콘트롤러를 이용한 자동화 설계 능력을 배양한다."
모바일컴퓨팅과응용 (Mobile Computing and Applications),"일상을 변화시키는 모바일 컴퓨팅 환경과 스마트폰 서비스를 이해하고, 스마트폰의 구조와 성공한 앱에 대한 분석을 수행한다. 스마트폰 어플리케이션 프로그래밍을 습득하여 새로운 어플리케이션을 기획하고 개발한다."
소프트웨어공학 (Software Engineering),안정적이고 신뢰할 수 있는 소프트웨어를 경제적으로 제작하기 위한 공학적인 원칙을 다루는 과목으로 소프트웨어 생명 주기의 단계별 프로세스와 활동 및 세부적인 과업들을 이해하고 개발방법론과 도구 그리고 개발관리기법을 학습한다.
네트워크프로그래밍 (Network Programming),"인터넷 프로토콜상에서 동작하는 네트워크 프로그래밍을 학습하고, 이를 이용하여 몇 개의 프로토콜 계층 구조를 설계 구현하도록 한다. 구체적으로는 Socket, TLI, RPC 등에 관하여 학습하고, 이를 이용하여 ftp나 telnet 프로그램을 작성할 수 있도록 한다."
데이터베이스프로그래밍 (Database Programming),"데이터베이스에서 배운 기본 개념을 이용하여 SQL2의 표준 데이터베이스 프로그래밍, SQL3의 제한조건(Constraints), 트리거(triggers), 재귀(recursion)등의 고급 데이터베이스 프로그래밍을 학습한다."
소프트웨어설계 (Software Design),"품질이 우수한 소프트웨어를 작성하기 위해 체계적으로 개발 과정을 습득하고 팀프로젝트를 통하여 다양한 소프트웨어 시스템을 분석, 설계하고 구현하는 기법을 학습한다. 분석 및 설계를 위해 Rational XDE도구를 활용하며 전문가를 초청하여 소프트웨어 개발 실무 경험을 듣고 팀 프로젝트에 적용한다."
인공지능 (Artificial Intelligence),"인공지능의 기본원리인 탐색 및 제어 전략, 생성 시스템, 지식표현, 기호프로그래밍에 대하여 학습하고, 심화된 내용으로 학습, 계획수립, 영상이해, 자연어처리 등을 강의와 세미나를 통해 학습하여 인공지능의 이론 및 응용 전반에 관한 지식을 습득한다."
정보보호 (Computer Security and Cryptology),"암호의 기본 개념과 수학적 배경, 비밀키 암호의 정보이론에 근거한 안전성, 스트림 암호와 블록암호(동기식스트림 암호, 자기동기식스트림암호, 블록암호의 사용모드), 비밀키 블록암호(DES, FEAL, 차분해독법, 선형해독법, MISTY 등), 공개키 암호(RSA, Rabin, 역수암호, ElGamal, 타원곡선암호, 확률암호 등), 상대인증 방법, 디지털 서명, 암호 프로토콜 등을 학습한다."
빅데이터분석 (Bigdata Analysis),"빅데이터에서 데이터 간의 관계, 패턴, 규칙 등을 찾아내고 모형화해 유용한 정보로 변환시키는 일련의 과정에 관련된 이론을 학습하고 실습을 통해 실무 능력을 배양한다."
사물인터넷응용 (Internet of Things Applications),"자동제어 시스템에 대한 특성으로 모델링, 시스템응답, 안정도, 감도 등에 대한 기반기술을 확립하고, 디지털 제어 시스템의 해석과 설계로 센서와 액튜에이터, 그리고 네트워크를 연결한 IoT 구축과 현장사례를 발표하고 해석한다."
이동통신네트워크 (Mobile Communications Networks),"전송, 통신망, 안테나, 시그널 인코딩, 대역확산과 같은 이동통신의 기본적인 지식을 다루고, 무선 랜과 셀룰러 네트워크와 같은 최신 무선 네트워크의 구조와 프로토콜에 대해서 이해한다."
임베디드시스템응용 (Embedded System Application),임베디드 리눅스 응용의 실습장비를 통하여 임베디드 적용 환경에 대한 실습 프로그램과 프로젝트를 수행하여 임베디드 응용 소프트웨어 제작능력을 배양한다.
컴파일러 (Compiler),"컴파일러의 설계 및 구현에 관한 이론 및 실제에 관해서 배우는 과목으로 인터프리터와 컴파일러, 구문분석, 파싱, Symbol table, 타입분석, 코드생성, 코드최적화 등의 방법론을 학습한다."
컴퓨터그래픽스 (Computer Graphics),"컴퓨터그래픽스를 위해 필요한 입출력장치의 이해, 사용자 인터페이스, 그래픽 프로그래밍 힌트를 기본으로 기하도형의 생성, 변환, Viewing 및 Shading 이론을 배우고, 구현시 고려되어야 할 각종 알고리즘을 통해 컴퓨터그래픽스를 이해하고 그래픽 툴 개발 등의 응용력을 배양한다."
컴퓨터비젼 (Computer Vision),"Image와 Image model, 전처리 과정, Boundary detection과 Region growing 방법, Texture와 Motion, 2차원 구조와 3차원 구조의 표현방법, 지식표현방법, Matching 및 Inference 알고리즘 등을 학습한다."
SoC 설계 (SOC Design),프로세서뿐만 아니라 다른 여러 기능 블록들의 연결로 구성된 시스템을 하나의 칩에 설계하는 기술 또는 그렇게 만들어진 칩을 SoC(System-on-Chip)라고 한다. 본 과목에서는 SoC 설계 과정과 구조를 살펴보고 실습과 프로젝트를 통해 블록(IP 코어)과 인터페이스 회로를 설계해본다.
딥러닝 (Deep Learning),"딥러닝의 기본 개념을 이해하고, 딥러닝이 활용되는 분야를 알아보고 딥러닝 응용 프로그램을 개발한다."
자연어처리 (Natural Language Processing),인공지능의 한 분야인 자연어 처리과정은 프로그래밍언어가 아닌 인간이 사용하는 언어인 자연어를 컴퓨터가 이해하고 처리하도록 하는 학문으로써 이 분야에 대한 기초 제반 지식을 학습한다.
휴먼컴퓨터인터페이스 (Human Computer Interface),인간-컴퓨터 인터페이스의 기본 개념과 인간 요소 관점에서 인간-컴퓨터 인터페이스를 설계하는 기초 이론을 연구한다.
캡스톤디자인I (Capstone Design I),4년 동안 배운 지식을 바탕으로 임의의 주어진 실제 과제를 해결하기 위해 그룹을 구성하여 그룹별로 문제점을 찾아내어 과제를 수행하는 능력을 기르며 실제적인 졸업작품을 제작하여 발표한다.
캡스톤디자인II (Capstone Design II),4년 동안 배운 지식을 바탕으로 임의의 주어진 실제 과제를 해결하기 위해 그룹을 구성하여 그룹별로 문제점을 찾아내어 과제를 수행하는 능력을 기르며 실제적인 졸업작품을 제작하여 발표한다.
