과정,폐강여부,과목코드,강좌번호,개설과목,개설학과,중간강의점검여부,문의처,이수구분,학점,주야,분반,교차수강,성적평가,정원,1학년정원,2학년정원,3학년정원,"4,5학년정원",전체학년제한,전체학년정원,신청현황,담당교수 교번,담당교수명,A / B / C / D / E / F / G,학년,75분수업,원격수업,승인,강의구분,학점교류여부,강의시간,강의실,강의계획서,비고,(교양)대영역,(교양)소영역,공학인증,시수,전공이수체계
일반,,PROJ4102,2025201716,캡스톤디자인(2),기계공학과,Y,"0428211076, 1153",특필,3.0,주,06,N,절대,10,0,0,0,10,0,0,10,20121007,이종광,0/0/0/0/0/0/0,4,,,,이론,N,"수1,2,3",기계관(603-604),보기,,,,,3.0,기본전공
일반,,PROJ4102,2025201718,캡스톤디자인(2),기계공학과,Y,"0428211076, 1153",특필,3.0,주,08,N,절대,21,0,0,0,20,1,1,20,20201024,김정재,0/0/0/0/0/0/0,4,,,,이론,N,"수1,2,3",기계관(607),보기,,,,,3.0,기본전공
일반,,PROJ4102,2025201719,캡스톤디자인(2),기계공학과,Y,"0428211076, 1153",특필,3.0,주,09,N,절대,10,0,0,0,10,0,0,10,20211706,노진성,0/0/0/0/0/0/0,4,,,,이론,N,"수1,2,3",기계관(206),보기,,,,,3.0,기본전공
일반,,PROJ4102,2025201720,캡스톤디자인(2),기계공학과,Y,"0428211076, 1153",특필,3.0,주,10,N,절대,12,0,0,0,12,0,0,12,"20021003,20241014","이강수,정길언",0/0/0/0/0/0/0,4,,,,이론,N,"수1,수2.5","기계관(606),기계관(606)",보기,,,,,3.0,기본전공
일반,,PROJ4102,2025201721,캡스톤디자인(2),기계공학과,Y,"0428211076, 1153",특필,3.0,주,11,N,절대,12,0,0,0,12,0,0,12,"20071059,20091017","임채욱,김경연",0/0/0/0/0/0/0,4,,,,이론,N,"수1,수2.5","기계관(601),기계관(601)",보기,,,,,3.0,기본전공
일반,,PROJ4102,2025201722,캡스톤디자인(2),기계공학과,Y,"0428211076, 1153",특필,3.0,주,12,N,절대,12,0,0,0,12,0,0,12,"20111019,20221001","서성현,이민우",0/0/0/0/0/0/0,4,,,,이론,N,"수1,수2.5","기계관(512),기계관(512)",보기,,,,,3.0,기본전공
일반,,PROJ4102,2025201723,캡스톤디자인(2),기계공학과,Y,"0428211076, 1153",특필,3.0,주,13,N,절대,13,0,0,0,13,0,0,12,"20151001,20251001","윤홍석,하지환",0/0/0/0/0/0/0,4,,,,이론,N,"수1,수2.5","기계관(101),기계관(101)",보기,,,,,3.0,기본전공
일반,,MSAE1102,2025200187,기초소재물성론,신소재공학과,Y,0428211234,전필,3.0,주,01,N,상대,35,28,0,0,0,7,7,35,20191020,김정환,0/0/0/0/0/0/0,1,,,,이론,N,"월2,3,4",소재관및공동실험실습관(115),보기,,,,,3.0,기본전공
일반,,MSAE1102,2025200185,기초소재물성론,신소재공학과,Y,0428211245,전필,3.0,주,02,N,상대,28,28,0,0,0,0,0,27,20201025,위정섭,0/0/0/0/0/0/0,1,,,,이론,N,"월6,7,8",소재관및공동실험실습관(404),보기,,,,,3.0,기본전공
일반,,MSAE1102,2025200186,기초소재물성론,신소재공학과,Y,0428211268,전필,3.0,주,03,N,상대,28,28,0,0,0,0,0,28,20211707,구교진,0/0/0/0/0/0/0,1,,,,이론,N,"월6,7,8",소재관및공동실험실습관(414),보기,,,,,3.0,기본전공
일반,,MSAE1102,2025202181,기초소재물성론,신소재공학과,Y,0428211268,전필,3.0,주,04,N,상대,35,28,0,0,0,7,7,35,20211707,구교진,0/0/0/0/0/0/0,1,,,,이론,N,"월2,3,4",소재관및공동실험실습관(414),보기,,,,,3.0,기본전공
일반,,MSAE110006,2025200189,미래소재디스커버리: AI 반도체,신소재공학과,Y,0428211234,전선,3.0,주,01,N,절대,25,25,0,0,0,0,0,11,"20221006,20221007,20241004","신기현,신동욱,김진",0/0/0/0/0/0/0,1,,,Y,이론,N,"목6,7,8",소재관및공동실험실습관(106),보기,"자율전공학부, 공학건설학부 학생만 수강 가능",,,,3.0,기본전공
일반,,MSAE110007,2025200190,미래소재디스커버리: 나노·에너지,신소재공학과,Y,0428211234,전선,3.0,주,01,N,절대,25,25,0,0,0,0,0,6,"20211707,20241003,20161005","구교진,고종범,조훈휘",0/0/0/0/0/0/0,1,,,Y,이론,N,"화6,7,8",소재관및공동실험실습관(111),보기,"자율전공학부, 공학건설학부 학생만 수강 가능",,,,3.0,기본전공
